Indice,File,Diff_media
404,07000_06000_label_free.tif,32.5195
405,07000_06500_label_free.tif,29.6027
406,07000_07000_label_free.tif,31.8204
407,07000_07500_label_free.tif,38.9075
408,07000_08000_label_free.tif,38.3404
409,07000_08500_label_free.tif,32.0624
410,07000_09000_label_free.tif,31.46
411,07000_09500_label_free.tif,33.2878
412,07000_10000_label_free.tif,33.5965
413,07000_10500_label_free.tif,35.5411
414,07000_11000_label_free.tif,31.5481
415,07000_11500_label_free.tif,25.1786
416,07000_12000_label_free.tif,20.8899
417,07000_12500_label_free.tif,27.074
418,07000_13000_label_free.tif,33.117
419,07000_13500_label_free.tif,33.6247
420,07000_14000_label_free.tif,39.4839
421,07000_14500_label_free.tif,41.3948
422,07000_15000_label_free.tif,33.1755
423,07000_15500_label_free.tif,24.5734
424,07000_16000_label_free.tif,21.1659
425,07000_16500_label_free.tif,21.781
426,07000_17000_label_free.tif,23.9615
427,07000_17500_label_free.tif,24.3693
428,07000_18000_label_free.tif,24.3208
429,07000_18500_label_free.tif,33.7453
430,07000_19000_label_free.tif,35.9644
431,07000_19500_label_free.tif,28.9586
432,07000_20000_label_free.tif,30.6241
433,07500_00000_label_free.tif,23.1319
434,07500_00500_label_free.tif,19.5993
435,07500_01000_label_free.tif,24.6583
436,07500_01500_label_free.tif,26.8229
437,07500_02000_label_free.tif,39.0111
438,07500_02500_label_free.tif,38.4416
439,07500_03000_label_free.tif,30.9701
440,07500_03500_label_free.tif,31.5981
441,07500_04000_label_free.tif,31.8528
442,07500_04500_label_free.tif,31.8596
443,07500_05000_label_free.tif,35.154
444,07500_05500_label_free.tif,34.0508
445,07500_06000_label_free.tif,26.707
446,07500_06500_label_free.tif,20.0078
447,07500_07000_label_free.tif,23.886
448,07500_07500_label_free.tif,33.0237
449,07500_08000_label_free.tif,33.7405
450,07500_08500_label_free.tif,32.3368
451,07500_09000_label_free.tif,33.8881
452,07500_09500_label_free.tif,33.5921
453,07500_10000_label_free.tif,36.2918
454,07500_10500_label_free.tif,36.9794
455,07500_11000_label_free.tif,36.2005
456,07500_11500_label_free.tif,33.7972
457,07500_12000_label_free.tif,20.5572
458,07500_12500_label_free.tif,17.97
459,07500_13000_label_free.tif,29.1103
460,07500_13500_label_free.tif,30.4728
461,07500_14000_label_free.tif,32.7575
462,07500_14500_label_free.tif,35.7996
463,07500_15000_label_free.tif,33.6101
464,07500_15500_label_free.tif,25.9566
465,07500_16000_label_free.tif,20.5002
466,07500_16500_label_free.tif,21.1687
467,07500_17000_label_free.tif,23.357
468,07500_17500_label_free.tif,23.8283
469,07500_18000_label_free.tif,20.6801
470,07500_18500_label_free.tif,29.1508
471,07500_19000_label_free.tif,35.6499
472,07500_19500_label_free.tif,30.3754
473,07500_20000_label_free.tif,30.8125
474,08000_00000_label_free.tif,23.8376
